,variable,value,abs_value,r-squared
covid_status_Vaccination and infection,covid_status_Infection only,-0.0112,0.0112,0.0001
age,stroke_type_NK,-0.008,0.008,0.0001
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,covid_status_Infection only,-0.0075,0.0075,0.0001
stroke_type_I,"eth5_Black, Black British, Caribbean or African",-0.0099,0.0099,0.0001
"eth5_Black, Black British, Caribbean or African",stroke_type_PIH,0.0106,0.0106,0.0001
eth5_Other ethnic group,eth5_Mixed or multiple ethnic groups,-0.0078,0.0078,0.0001
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,eth5_Mixed or multiple ethnic groups,0.0077,0.0077,0.0001
covid_status_None,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,0.0099,0.0099,0.0001
eth5_Mixed or multiple ethnic groups,covid_status_None,0.0079,0.0079,0.0001
covid_status_Vaccination only,eth5_Mixed or multiple ethnic groups,-0.0086,0.0086,0.0001
Treatment_time_270_both_only_mt_over_270mins,diabetes,-0.0122,0.0122,0.0001
covid_status_None,Treatment_time_270_both_only_mt_under_270mins,-0.0083,0.0083,0.0001
prior_disability,eth5_Mixed or multiple ethnic groups,-0.0093,0.0093,0.0001
Treatment_time_270_both_only_ivt_over_270mins,covid_status_None,-0.0075,0.0075,0.0001
Treatment_time_270_both_only_mt_over_270mins,"eth5_Black, Black British, Caribbean or African",0.0081,0.0081,0.0001
Treatment_time_270_both_only_ivt_over_270mins,any_afib_diagnosis,-0.0099,0.0099,0.0001
eth5_White,Treatment_time_270_both_ivt_mt_under_270mins,-0.0073,0.0073,0.0001
eth5_White,Treatment_time_270_both_only_mt_over_270mins,-0.0071,0.0071,0.0001
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.0107,0.0107,0.0001
